"Frequency", "Magnitude"
10.0, -45.190894
10.0, -45.190894
10.0, -45.190894
10.0, -45.190894
10.0, -45.190894
10.0, -45.190894
10.0, -45.190894
10.0, -45.190894
10.0, -45.190894
10.0, -45.190894
10.0, -45.190894
11.0, -43.535164
11.0, -43.535164
11.0, -43.535164
11.0, -43.535164
11.0, -43.535164
11.0, -43.535164
11.0, -43.535164
11.0, -43.535164
11.0, -43.535164
11.0, -43.535164
12.0, -42.023610
12.0, -42.023610
12.0, -42.023610
12.0, -42.023610
12.0, -42.023610
12.0, -42.023610
12.0, -42.023610
12.0, -42.023610
12.0, -42.023610
13.0, -40.633130
13.0, -40.633130
13.0, -40.633130
13.0, -40.633130
13.0, -40.633130
13.0, -40.633130
13.0, -40.633130
13.0, -40.633130
14.0, -39.345766
14.0, -39.345766
14.0, -39.345766
14.0, -39.345766
14.0, -39.345766
14.0, -39.345766
14.0, -39.345766
14.0, -39.345766
15.0, -38.147283
15.0, -38.147283
15.0, -38.147283
15.0, -38.147283
15.0, -38.147283
15.0, -38.147283
15.0, -38.147283
16.0, -37.026210
16.0, -37.026210
16.0, -37.026210
16.0, -37.026210
16.0, -37.026210
16.0, -37.026210
17.0, -35.973160
17.0, -35.973160
17.0, -35.973160
17.0, -35.973160
17.0, -35.973160
17.0, -35.973160
17.0, -35.973160
18.0, -34.980364
18.0, -34.980364
18.0, -34.980364
18.0, -34.980364
18.0, -34.980364
18.0, -34.980364
19.0, -34.041311
19.0, -34.041311
19.0, -34.041311
19.0, -34.041311
19.0, -34.041311
19.0, -34.041311
20.0, -33.150497
20.0, -33.150497
20.0, -33.150497
20.0, -33.150497
20.0, -33.150497
21.0, -32.303222
21.0, -32.303222
21.0, -32.303222
21.0, -32.303222
21.0, -32.303222
22.0, -31.495448
22.0, -31.495448
22.0, -31.495448
22.0, -31.495448
22.0, -31.495448
23.0, -30.723672
23.0, -30.723672
23.0, -30.723672
23.0, -30.723672
23.0, -30.723672
24.0, -29.984844
24.0, -29.984844
24.0, -29.984844
24.0, -29.984844
25.0, -29.276286
25.0, -29.276286
25.0, -29.276286
25.0, -29.276286
25.0, -29.276286
26.0, -28.595638
26.0, -28.595638
26.0, -28.595638
26.0, -28.595638
27.0, -27.940808
27.0, -27.940808
27.0, -27.940808
27.0, -27.940808
28.0, -27.309932
28.0, -27.309932
28.0, -27.309932
28.0, -27.309932
29.0, -26.701347
29.0, -26.701347
29.0, -26.701347
29.0, -26.701347
30.0, -26.113557
30.0, -26.113557
30.0, -26.113557
31.0, -25.545217
31.0, -25.545217
31.0, -25.545217
31.0, -25.545217
32.0, -24.995109
32.0, -24.995109
32.0, -24.995109
33.0, -24.462129
33.0, -24.462129
33.0, -24.462129
33.0, -24.462129
34.0, -23.945276
34.0, -23.945276
34.0, -23.945276
35.0, -23.443633
35.0, -23.443633
35.0, -23.443633
36.0, -22.956365
36.0, -22.956365
36.0, -22.956365
37.0, -22.482705
37.0, -22.482705
37.0, -22.482705
38.0, -22.021949
38.0, -22.021949
38.0, -22.021949
39.0, -21.573449
39.0, -21.573449
39.0, -21.573449
40.0, -21.136608
40.0, -21.136608
41.0, -20.710873
41.0, -20.710873
41.0, -20.710873
42.0, -20.295734
42.0, -20.295734
42.0, -20.295734
43.0, -19.890716
43.0, -19.890716
44.0, -19.495379
44.0, -19.495379
44.0, -19.495379
45.0, -19.109313
45.0, -19.109313
46.0, -18.732138
46.0, -18.732138
46.0, -18.732138
47.0, -18.363497
47.0, -18.363497
48.0, -18.003058
48.0, -18.003058
49.0, -17.650511
49.0, -17.650511
50.0, -17.305565
50.0, -17.305565
50.0, -17.305565
51.0, -16.967946
51.0, -16.967946
52.0, -16.637400
52.0, -16.637400
53.0, -16.313685
53.0, -16.313685
54.0, -15.996577
54.0, -15.996577
55.0, -15.685862
55.0, -15.685862
56.0, -15.381340
56.0, -15.381340
57.0, -15.082822
57.0, -15.082822
58.0, -14.790130
58.0, -14.790130
59.0, -14.503095
